sourceName,date,USD,EUR,number
PARTNER_REUTERS_BIDASK_24H,2021-03-02T01:00:00.000+0000,USD,EUR,0.8300821781
PARTNER_REUTERS_BIDASK_24H,2021-03-03T01:00:00.000+0000,USD,EUR,0.8271298594
PARTNER_REUTERS_BIDASK_24H,2021-03-04T01:00:00.000+0000,USD,EUR,0.8291873964
PARTNER_REUTERS_BIDASK_24H,2021-03-05T01:00:00.000+0000,USD,EUR,0.8357011533
PARTNER_REUTERS_BIDASK_24H,2021-03-06T01:00:00.000+0000,USD,EUR,0.8389965601
PARTNER_REUTERS_BIDASK_24H,2021-03-07T01:00:00.000+0000,USD,EUR,0.8389965601
PARTNER_REUTERS_BIDASK_24H,2021-03-08T01:00:00.000+0000,USD,EUR,0.8380122350
PARTNER_REUTERS_BIDASK_24H,2021-03-09T01:00:00.000+0000,USD,EUR,0.8443806468
PARTNER_REUTERS_BIDASK_24H,2021-03-10T01:00:00.000+0000,USD,EUR,0.8410428932
PARTNER_REUTERS_BIDASK_24H,2021-03-11T01:00:00.000+0000,USD,EUR,0.8389261745
PARTNER_REUTERS_BIDASK_24H,2021-03-12T01:00:00.000+0000,USD,EUR,0.8344459279
PARTNER_REUTERS_BIDASK_24H,2021-03-13T01:00:00.000+0000,USD,EUR,0.8364001338
PARTNER_REUTERS_BIDASK_24H,2021-03-14T01:00:00.000+0000,USD,EUR,0.8364001338
PARTNER_REUTERS_BIDASK_24H,2021-03-15T01:00:00.000+0000,USD,EUR,0.8364001338
PARTNER_REUTERS_BIDASK_24H,2021-03-16T01:00:00.000+0000,USD,EUR,0.8382932350
PARTNER_REUTERS_BIDASK_24H,2021-03-17T01:00:00.000+0000,USD,EUR,0.8399832003
PARTNER_REUTERS_BIDASK_24H,2021-03-18T01:00:00.000+0000,USD,EUR,0.8343763037
PARTNER_REUTERS_BIDASK_24H,2021-03-19T01:00:00.000+0000,USD,EUR,0.8396305626
PARTNER_REUTERS_BIDASK_24H,2021-03-20T01:00:00.000+0000,USD,EUR,0.8399832003
PARTNER_REUTERS_BIDASK_24H,2021-03-21T01:00:00.000+0000,USD,EUR,0.8399832003
PARTNER_REUTERS_BIDASK_24H,2021-03-22T01:00:00.000+0000,USD,EUR,0.8411136345
PARTNER_REUTERS_BIDASK_24H,2021-03-23T01:00:00.000+0000,USD,EUR,0.8380122350
PARTNER_REUTERS_BIDASK_24H,2021-03-24T01:00:00.000+0000,USD,EUR,0.8440955516
PARTNER_REUTERS_BIDASK_24H,2021-03-25T01:00:00.000+0000,USD,EUR,0.8463100880
PARTNER_REUTERS_BIDASK_24H,2021-03-26T01:00:00.000+0000,USD,EUR,0.8491126773
PARTNER_REUTERS_BIDASK_24H,2021-03-27T01:00:00.000+0000,USD,EUR,0.8474576271
PARTNER_REUTERS_BIDASK_24H,2021-03-29T01:00:00.000+0000,USD,EUR,0.8486803021
PARTNER_REUTERS_BIDASK_24H,2021-03-30T01:00:00.000+0000,USD,EUR,0.8496898632
PARTNER_REUTERS_BIDASK_24H,2021-03-31T01:00:00.000+0000,USD,EUR,0.8529512112
PARTNER_REUTERS_BIDASK_24H,2021-04-01T01:00:00.000+0000,USD,EUR,0.8527330093
PARTNER_REUTERS_BIDASK_24H,2021-04-02T01:00:00.000+0000,USD,EUR,0.8493290301
PARTNER_REUTERS_BIDASK_24H,2021-04-03T01:00:00.000+0000,USD,EUR,0.8499065103
PARTNER_REUTERS_BIDASK_24H,2021-04-04T01:00:00.000+0000,USD,EUR,0.8499065103
PARTNER_REUTERS_BIDASK_24H,2021-04-05T01:00:00.000+0000,USD,EUR,0.8497620666
PARTNER_REUTERS_BIDASK_24H,2021-04-06T01:00:00.000+0000,USD,EUR,0.8464533604
PARTNER_REUTERS_BIDASK_24H,2021-04-07T01:00:00.000+0000,USD,EUR,0.8422471153
PARTNER_REUTERS_BIDASK_24H,2021-04-08T01:00:00.000+0000,USD,EUR,0.8423180593
PARTNER_REUTERS_BIDASK_24H,2021-04-09T01:00:00.000+0000,USD,EUR,0.8391373668
PARTNER_REUTERS_BIDASK_24H,2021-04-10T01:00:00.000+0000,USD,EUR,0.8403361345
PARTNER_REUTERS_BIDASK_24H,2021-04-12T01:00:00.000+0000,USD,EUR,0.8401243384
PARTNER_REUTERS_BIDASK_24H,2021-04-13T01:00:00.000+0000,USD,EUR,0.8399832003
PARTNER_REUTERS_BIDASK_24H,2020-12-31T01:00:00.000+0000,USD,KES,109.15
PARTNER_REUTERS_BIDASK_24H,2021-01-01T01:00:00.000+0000,USD,KES,109.1
PARTNER_REUTERS_BIDASK_24H,2021-01-02T01:00:00.000+0000,USD,KES,109.1
PARTNER_REUTERS_BIDASK_24H,2021-01-03T01:00:00.000+0000,USD,KES,109.1
